,Week,Total Investment,Total Investment_SMA_3,Total Investment_SMA_5,Total Investment_EMA_8,Total_Investment_Ad_Stock,TV,TV_SMA_3,TV_SMA_5,TV_EMA_8,TV_Ad_Stock,Digital,Digital_SMA_3,Digital_SMA_5,Digital_EMA_8,Digital_Ad_Stock,Sponsorship,Sponsorship_SMA_3,Sponsorship_SMA_5,Sponsorship_EMA_8,Sponsorship_Ad_Stock,Content Marketing,Content Marketing_SMA_3,Content Marketing_SMA_5,Content Marketing_EMA_8,Content_Marketing_Ad_Stock,Online marketing,Online marketing_SMA_3,Online marketing_SMA_5,Online marketing_EMA_8,Online_marketing_Ad_Stock,Affiliates,Affiliates_SMA_3,Affiliates_SMA_5,Affiliates_EMA_8,Affiliates_Ad_Stock,SEM,SEM_SMA_3,SEM_SMA_5,SEM_EMA_8,SEM_Ad_Stock,Radio,Radio_SMA_3,Radio_SMA_5,Radio_EMA_8,Radio_Ad_Stock,Other,Other_SMA_3,Other_SMA_5,Other_EMA_8,Other_Ad_Stock
0,28,4.265,0.0,0.0,4.265,4.265,0.054,0.0,0.0,0.054,0.054,0.633,0.0,0.0,0.633,0.633,1.854,0.0,0.0,1.854,1.854,0.0,0.0,0.0,0.0,0.0,0.332,0.0,0.0,0.332,0.332,0.137,0.0,0.0,0.137,0.137,1.256,0.0,0.0,1.256,1.256,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,29,4.265,0.0,0.0,4.265,6.824,0.054,0.0,0.0,0.054,0.0864,0.633,0.0,0.0,0.633,1.0128,1.854,0.0,0.0,1.854,2.9664,0.0,0.0,0.0,0.0,0.0,0.332,0.0,0.0,0.332,0.5312,0.137,0.0,0.0,0.137,0.2192,1.256,0.0,0.0,1.256,2.0096,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,30,4.265,4.265,0.0,4.265,8.359399999999999,0.054,0.054,0.0,0.054,0.10584,0.633,0.633,0.0,0.633,1.2406799999999998,1.854,1.854,0.0,1.854,3.63384,0.0,0.0,0.0,0.0,0.0,0.332,0.332,0.0,0.332,0.65072,0.137,0.137,0.0,0.137,0.26852,1.256,1.256,0.0,1.256,2.46176,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,31,4.265,4.265,0.0,4.265,9.280639999999998,0.054,0.054,0.0,0.054,0.117504,0.633,0.633,0.0,0.633,1.377408,1.854,1.854,0.0,1.854,4.034304000000001,0.0,0.0,0.0,0.0,0.0,0.332,0.332,0.0,0.332,0.722432,0.137,0.137,0.0,0.137,0.298112,1.256,1.256,0.0,1.256,2.733056,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,32,1.013,3.1809999999999996,3.6146000000000003,3.542333333333333,6.581383999999999,0.001,0.036333333333333336,0.0434,0.042222222222222223,0.0715024,0.256,0.5073333333333334,0.5576000000000001,0.5492222222222223,1.0824448,0.213,1.3070000000000002,1.5258,1.4893333333333334,2.6335824000000003,0.0,0.0,0.0,0.0,0.0,0.026,0.22999999999999998,0.27080000000000004,0.264,0.4594592,0.015,0.09633333333333334,0.1126,0.1098888888888889,0.19386719999999996,0.503,1.005,1.1054,1.0886666666666667,2.1428336,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,33,1.013,2.097,2.9641999999999995,2.980259259259259,4.961830399999999,0.001,0.01866666666666667,0.0328,0.03306172839506173,0.04390143999999999,0.256,0.38166666666666677,0.4822000000000001,0.4840617283950618,0.90546688,0.213,0.7600000000000001,1.1976,1.2057037037037037,1.7931494400000003,0.0,0.0,0.0,0.0,0.0,0.026,0.12799999999999997,0.2096,0.2111111111111111,0.30167552000000003,0.015,0.05566666666666668,0.08820000000000001,0.08880246913580248,0.13132032,0.503,0.7539999999999999,0.9548,0.9585185185185185,1.7887001599999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,34,1.013,1.013,2.3137999999999996,2.5430905349794237,3.9900982399999996,0.001,0.0010000000000000054,0.022200000000000004,0.02593689986282579,0.027340863999999996,0.256,0.25600000000000006,0.40680000000000016,0.43338134430727027,0.7992801279999999,0.213,0.21300000000000008,0.8694000000000001,0.9851028806584362,1.2888896640000003,0.0,0.0,0.0,0.0,0.0,0.026,0.025999999999999985,0.1484,0.1699753086419753,0.207005312,0.015,0.015000000000000013,0.06380000000000001,0.07240192043895748,0.093792192,0.503,0.5029999999999999,0.8042,0.8572921810699589,1.5762200959999997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,35,1.013,1.013,1.6634,2.2030704160951076,3.4070589439999996,0.001,0.0010000000000000054,0.011600000000000003,0.020395366559975613,0.0174045184,0.256,0.25600000000000006,0.3314000000000002,0.39396326779454355,0.7355680767999999,0.213,0.21300000000000008,0.5412000000000001,0.8135244627343393,0.9863337984000001,0.0,0.0,0.0,0.0,0.0,0.026,0.025999999999999985,0.0872,0.13798079561042523,0.1502031872,0.015,0.015000000000000013,0.03940000000000001,0.05964593811918915,0.0712753152,0.503,0.5029999999999998,0.6536,0.7785605852766346,1.4487320575999998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,36,1.013,1.013,1.0130000000000001,1.938610323629528,3.0572353663999996,0.001,0.0010000000000000054,0.0010000000000000037,0.016085285102203254,0.011442711039999998,0.256,0.25600000000000006,0.25600000000000017,0.36330476384020055,0.6973408460799999,0.213,0.21300000000000008,0.21300000000000008,0.6800745821267083,0.8048002790400001,0.0,0.0,0.0,0.0,0.0,0.026,0.025999999999999985,0.026000000000000002,0.11309617436366406,0.11612191231999999,0.015,0.015000000000000013,0.015000000000000013,0.04972461853714712,0.05776518912,0.503,0.5029999999999998,0.5029999999999999,0.7173248996596047,1.3722392345599999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,37,24.064,8.696666666666667,5.6232,6.855363585045188,25.89834121984,0.97,0.324,0.1948,0.22806633285726918,0.976865626624,0.339,0.28366666666666673,0.2726000000000002,0.3579037052090449,0.7574045076479999,15.697,5.3743333333333325,3.3098,4.017169119431884,16.179880167424,0.153,0.051,0.0306,0.033999999999999996,0.153,4.095,1.3823333333333334,0.8398,0.9979636911717387,4.164673147392,1.26,0.4300000000000001,0.264,0.31867470330666997,1.294659113472,1.551,0.8523333333333332,0.7125999999999999,0.9025860330685813,2.3743435407359996,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
